"auto_id","log_identifer","log_date","log_details"
"32953","바멍","2023-05-02 19:28:24","JANGSU GOTCHA USE 15000 / REMAIN 28730821"
"32954","바멍","2023-05-02 19:28:26","JANGSU GOTCHA USE 15000 / REMAIN 28715821"
"32955","바멍","2023-05-02 19:28:27","JANGSU GOTCHA USE 15000 / REMAIN 28700821"
"32956","바멍","2023-05-02 19:28:29","JANGSU GOTCHA USE 15000 / REMAIN 28685821"
"32957","바멍","2023-05-02 19:28:30","JANGSU GOTCHA USE 15000 / REMAIN 28670821"
"32958","바멍","2023-05-02 19:28:31","JANGSU GOTCHA USE 15000 / REMAIN 28655821"
"32959","바멍","2023-05-02 19:28:32","JANGSU GOTCHA USE 15000 / REMAIN 28640821"
"32960","바멍","2023-05-02 19:28:34","JANGSU GOTCHA USE 15000 / REMAIN 28625821"
"32961","바멍","2023-05-02 19:28:35","JANGSU GOTCHA USE 15000 / REMAIN 28610821"
"32962","바멍","2023-05-02 19:28:36","JANGSU GOTCHA USE 15000 / REMAIN 28595821"
"32963","바멍","2023-05-02 19:28:38","JANGSU GOTCHA USE 15000 / REMAIN 28580821"
"32964","바멍","2023-05-02 19:28:39","JANGSU GOTCHA USE 15000 / REMAIN 28565821"
"32965","바멍","2023-05-02 19:28:40","JANGSU GOTCHA USE 15000 / REMAIN 28550821"
"32966","바멍","2023-05-02 19:28:42","JANGSU GOTCHA USE 15000 / REMAIN 28535821"
"32967","바멍","2023-05-02 19:28:43","JANGSU GOTCHA USE 15000 / REMAIN 28520821"
"32968","바멍","2023-05-02 19:28:44","JANGSU GOTCHA USE 15000 / REMAIN 28505821"
"32969","바멍","2023-05-02 19:28:45","JANGSU GOTCHA USE 15000 / REMAIN 28490821"
"32970","바멍","2023-05-02 19:28:47","JANGSU GOTCHA USE 15000 / REMAIN 28475821"
"32971","바멍","2023-05-02 19:28:48","JANGSU GOTCHA USE 15000 / REMAIN 28460821"
"32972","바멍","2023-05-02 19:28:49","JANGSU GOTCHA USE 15000 / REMAIN 28445821"
"32973","바멍","2023-05-02 19:28:50","JANGSU GOTCHA USE 15000 / REMAIN 28430821"
"32974","바멍","2023-05-02 19:28:52","JANGSU GOTCHA USE 15000 / REMAIN 28415821"
"32975","바멍","2023-05-02 19:28:53","JANGSU GOTCHA USE 15000 / REMAIN 28400821"
"32976","바멍","2023-05-02 19:28:55","JANGSU GOTCHA USE 15000 / REMAIN 28385821"
"32977","바멍","2023-05-02 19:28:56","JANGSU GOTCHA USE 15000 / REMAIN 28370821"
